feature_family,feature_name,level,meaning,behaviour,calculation,pre_trade_only,tested
Challenge State and Drawdown Pressure,realized_balance_before_trade,trade,Realized account balance before the current trade.,Account state relative to starting capital.,Starting balance plus realized_pnl_before_trade.,True,False
Challenge State and Drawdown Pressure,realized_distance_to_drawdown_limit,trade,Remaining realized-P&L distance to the platform drawdown boundary.,Drawdown pressure.,realized_pnl_before_trade minus the negative drawdown boundary.,True,True
Challenge State and Drawdown Pressure,realized_distance_to_profit_target,trade,Remaining realized profit required to reach the challenge target.,Profit-target pressure.,Profit target amount minus realized_pnl_before_trade.,True,True
Challenge State and Drawdown Pressure,realized_pnl_before_trade,trade,Cumulative realized P&L known before the current entry.,Current challenge performance state.,Cumulative net profit from trades closed on or before the current opening timestamp.,True,False
Historical Performance,past_idea_win_rate,idea / trade,Share of previously completed ideas that were profitable.,Historical hit-rate performance.,Past winning ideas divided by all past completed ideas.,True,True
Historical Performance,past_mean_loss_abs_profit_per_lot,idea / trade,Average absolute loss per lot among historical losing ideas.,Historical downside magnitude.,Sum of absolute historical losing idea profit-per-lot divided by losing idea count.,True,True
Historical Performance,past_mean_win_profit_per_lot,idea / trade,Average profit per lot among historical winning ideas.,Historical upside magnitude.,Sum of historical winning idea profit-per-lot divided by historical winning idea count.,True,False
Historical Performance,past_payoff_ratio,idea / trade,Historical average win magnitude relative to average loss magnitude.,Historical payoff quality.,past_mean_win_profit_per_lot divided by past_mean_loss_abs_profit_per_lot.,True,True
Loss Response,post_loss_amount_increased,trade,Indicates that position size increased after the previous completed loss.,Captures post-loss size escalation.,post_loss_amount_ratio > 1 for a post-loss entry.,True,True
Loss Response,post_loss_amount_ratio,trade,Current trade amount relative to the amount of the previous completed losing trade.,Measures position-size reaction after a loss.,"Current amount divided by previous completed trade amount, restricted to post-loss entries.",True,True
Loss Response,post_loss_entry,trade,Indicates that the most recent completed trade before the current entry was a loss.,Identifies trades occurring immediately after a realized loss.,True when previous_completed_was_loss is True.,True,False
Loss Response,post_loss_reentry_gap_minutes,trade,Minutes between the previous completed losing trade and the current trade entry.,Measures how quickly the trader re-enters after a loss.,Current open time minus the close time of the most recent completed losing trade.,True,True
Position Sizing,current_to_historical_median_amount_ratio,trade,Current trade size relative to the trader's historical median size.,Unusually large current position sizing.,Current amount divided by historical median amount.,True,True
Position Sizing,historical_median_amount_before_trade,trade,Median position size from strictly earlier trades.,Trader-specific historical sizing baseline.,Median amount across earlier trade entries within the same account and campaign.,True,False
Position Sizing,past_amount_cv,trade,Coefficient of variation of historical position sizes.,Historical sizing consistency or instability.,"Historical amount standard deviation divided by historical mean amount, using strictly earlier trades.",True,True
Stop-Loss and Take-Profit Behaviour,has_stop_loss,trade,Whether a stop-loss price is recorded.,Stop-loss use.,sl_price is non-missing.,True,True
Stop-Loss and Take-Profit Behaviour,has_take_profit,trade,Whether a take-profit price is recorded.,Take-profit use.,tp_price is non-missing.,True,True
Stop-Loss and Take-Profit Behaviour,planned_reward_to_risk_ratio,trade,Planned take-profit distance relative to stop-loss distance.,Planned reward-to-risk structure.,Valid TP distance divided by valid SL distance.,True,True
Stop-Loss and Take-Profit Behaviour,sl_tp_configuration,trade,"Combined SL/TP configuration: both, SL only, TP only, or neither.",Planned risk-management configuration.,Categorical combination of has_stop_loss and has_take_profit.,True,True
Stop-Loss and Take-Profit Behaviour,stop_loss_distance_pct,trade,Direction-adjusted stop-loss distance relative to entry price.,Planned downside tolerance.,Positive directional SL distance divided by open price.,True,True
Stop-Loss and Take-Profit Behaviour,take_profit_distance_pct,trade,Direction-adjusted take-profit distance relative to entry price.,Planned upside target distance.,Positive directional TP distance divided by open price.,True,True
Trading Activity and Timing,past_trades_opened_per_active_hour,trade,Historical trade-entry rate before the current trade.,Cumulative trading intensity.,Number of strictly earlier trade opens divided by elapsed hours since the account-campaign's first entry.,True,True
Trading Activity and Timing,trade_open_gap_to_past_median_ratio,trade,Current entry gap relative to the trader's historical median entry gap.,Trading acceleration relative to normal pace.,Minutes since previous trade open divided by the historical median trade-open gap.,True,True
Trading Activity and Timing,trades_opened_past_30_minutes,trade,Number of trades opened during the 30 minutes immediately before the current entry.,Recent burst trading intensity.,Count of trade opens where current time - 30 minutes <= historical open time < current open time.,True,True
